Question,Option 1,Option 2,Option 3,Option 4,Option 5,Answer
"The Congress, by a vote of ____ of both Houses in joint session assembled, voting separately, shall have the sole power to declare a state of war.",Two-thirds,One-half,Three quarters,Minority,None of these,Two-thirds
"It states that ??no person shall be deprived of life, liberty, or property without due process of law, nor any person be denied the equal protection of the laws.??",Article VI,Bill of Rights,Republic Act,Court Order,None of these,Bill of Rights
All of the following is TRUE except:,No person shall be compelled to be a witness against himself,No person shall be imprisoned for non-payment of debt or poll tax,No ex post facto law or bill of attainder shall not be enacted.,No person shall be detained solely by reason of his political beliefs and aspirations.,None of these,No ex post facto law or bill of attainder shall not be enacted.
The following are citizens of the Philippines except:,Those fathers or mothers are citizens of the Philippines,"Those who are born before January 17, 1973, of Filipino mothers, who elect Philippine citizenship upon reaching the age of majority",Those who are naturalized citizens of the Philippines in accordance with law.,All of the above are true.,None of these,All of the above are true.
"It is the right and obligation by all citizens, who are at least 18 years of age, and qualified by law, to vote in the election of national and local officials of the government without literacy,, property, or other substantive requirement.",Suffrage,Election,Voting Power,Civil Right,Human Right,Suffrage
The three inherent powers of the state are the following except one:,Police Power,Power of Eminent Domain,Power of Taxation,Power to Impeach,,Power to Impeach
It is the power of the State to promote public welfare by restraining the use of both liberty and property of all people.,Police Power,Power of Eminent Domain,Power of Taxation,Power to Impeach,All of the above,Police Power
It is the power of the State to take properties for the purpose of public use upon payment of just compensation.,Police Power,Power of Eminent Domain,Power of Taxation,Power to Impeach,All of the above,Power of Eminent Domain
"It is the power of the State to impose charge or burden to persons and properties, and property rights for the purpose of raising revenues to protect the people and extend public projects and services.",Police Power,Power of Eminent Domain,Power of Taxation,Power to Impeach,All of the above,Power of Taxation
The following are members of the Constitutional Commission except:,Commission on Civil Rights,Commission on Elections,Civil Service Commission,Commission on Audit,None of these,Commission on Civil Rights
"It states that public office is public trust and that public officers and employees must, at all times, be accountable to the people, serve them with utmost responsibility, integrity, loyalty and efficiency; act with patriotism and justice and lead modest lives.

",Public Trust,Constitutional Rights,Accountability,Responsibility,All of the above,Public Trust
Who shall have the exclusive power to initiate all cases of impeachment?,House of Blue Ribbon Committee,House of Representatives,House of the Senate,Speaker of the House,All of the above,House of Representatives
"R.A. 6713 is an act to uphold the time-honored principle of public office being a public trust, granting incentives and rewards for exemplary service, enumerating prohibited acts and providing penalties for violations thereof and for other purposes.",Preamble,Code of Ethics,Code of Government Officials,Code of Conduct and Ethical Standards for Public Officials and Employees,None of these,Code of Conduct and Ethical Standards for Public Officials and Employees
The following are duties and responsibilities of Public officials and Employees except:,"Act promptly on letters, inquiries, calls or any other form of communications sent by the public.",Submit performance reports of the agency or office regularly,Accept gifts from the public upon prioritizing their queries.,Process documents and papers expeditiously.,None of these,Accept gifts from the public upon prioritizing their queries.
It is a written instrument containing the proposition and required number of signatories and shall be in a form determined by and submitted to the Commission on Elections.,Bill,Law,Proposition,Petition,All of the above,Petition
It is the electoral process by which an initiative on the Constitution is either approved or rejected by the people.,Referendum,Plebiscite,Petition,Initaitve,Proposition,Plebiscite
It is the power of the electorate to approve or reject a legislation through an election called for the purpose.,Referendum,Plebiscite,Petition,Initaitve,Proposition,Referendum
This law promotes responsible family planning and proper use of reproductive methods to eliminate over-population growth.,RH Bill,Responsible Parenthood and Reproductive Health Law,Reproductive Law,Family Planning,All of the above,Responsible Parenthood and Reproductive Health Law
It is a specialized agency of the United Nations that concerns international public health.,Department of Health,World Health Organization,International Health Organization,National Health Organization,All of the above,World Health Organization
APEC is a summit that promotes free trade and economic cooperation throughout the Asia-Pacific region countries. APEC stands for:,Asia Pacific Economic Corporation,Asia Pacific Economic Cooperation,Asia Pacific Economic Council,Asia Pacific Economic Countries,Asian Pacific Economic Corporation,Asia Pacific Economic Cooperation
"Association of Southeast Asian Nations (ASEAN) aims to accelerate economic growth, stability, social progress and cultural development in the spirit of equality and partnership to strengthen prosperous and peaceful community along Southeast Asian Nations. Which of the following countries is not a member of ASEAN?",Hong Kong,Philippines,Singapore,Thailand,None of these,Hon Kong
It is a law in the Philippines that aims to address legal issues concerning online interactions and harmful internet behavior in the Philippines. It aims to prevent and punish cybercrime in the country.,Cybersquatting,Cybercrime Act,Cybercrime Prevention Act,Cyber Identity Theft Act,Cyber Bullying Act,Cybercrime Prevention Act
__________waste breaks down into natural components and can be recycled into the life cycle naturally.,Bio-chemical,Recyclable,Biodegradable,Non-biodegradable,All of the above,Biodegradable
The following are examples of non-biodegradable waste except:,Plastics,Metals,Styrofoam,Papers,None of these,Papers
"It is a project of DOST for more accurate, integrated and responsive disaster prevention and mitigation system especially in high-risk calamity areas of the Philippines.",PAGASA,I am Ready,DOST-Advanced Disaster Program,Project NOAH,Bantay Kalikasan Project,Project NOAH
"PAGASA is the official government agency for weather forecasting, flood control, astronomical observations, and time service. PAGASA stands for _______?",Philippine Atmospheric Geographical and Astronomical Services Administration,Philippine Atmospheric Geophysical and Astronomical Services Administration,Philippine Atmospheric Geological and Astronomical Services Association,Philippine Atmospheric Geophysical and Astronomical Services Association,None of these,Philippine Atmospheric Geophysical and Astronomical Services Administration
"PHIVOLCS is a branch of DOST to moderate disasters that may arise from volcanic eruptions, earthquakes, tsunami and other related geotectonic phenomena in the Philippines. What is PHIVOLCS?",Philippine Institute of Volcanology and Seismology,Philippine Institute of Volcanic and Seismic Services,Philippine Institute of Volcanic and Seismology Services,Philippine Institute of Volcano and Seismic System,Philippine Institute of Volcano and Seismology System,Philippine Institute of Volcanology and Seismology
Which of the following is a renewable source of energy?,Geothermal energy,Solar Energy,Wind Energy,All of the above ,None of These,All of the above 
It is a process by which thermal radiation from the earth??s surface is absorbed by atmospheric greenhouse gases and is re-radiated in all directions.,Global Warming,Greenhouse Effect,Ozone Layer,Solar Radiation,All of the above,Greenhouse Effect
"USB is an industry standard that connects computers and electronic devices like keyboards, digicams, portable media devices, disk drivers, smartphones, and network adapters to any computer. USB stands for?",Unit Serial Box,Unit Serial Bolt,Universal Serial Bin,Universal Serial Bus,All of the above,Universal Serial Bus
The right to just and favorable working conditions guarantees every Filipino worker a right to __________.,Limited opportunities for promotion,Fair renumeration for equal work,Stricter rules on breaktime,None of these,,Fair renumeration for equal work
"Also known as Tanodbayan ng Pilipinas, he or she is responsible for investigating and prosecuting Philippine government officials accused of crimes, especially graft and corruption.",Ombudsman,Solicitor General,Senate President,Sandiganbayan Presiding Justice,President,Ombudsman
The 1987 Constitution contains at least 3 sets of provisions. Which one of the following provisions is NOT included?,Constitution of Universality,Constitution of Liberty,Constitution of Government,None of these,None of these,Constitution of Universality
It was the date when President Duterte declared Martial law in the whole island of Mindanao,23-May-17,21-Sep-17,25-May-17,21-May-17,18-Sep-17,23-May-17
The State under our present Constitution recognizes the vital role of the youth in nation-building and shall:,Promote their physical well-being.,Intellectual well-being,Social well-being,All of the Above,None of these,All of the Above
Who is the principal law officer and legal defender of the Republic of the Philippines. He/she represents the government in all criminal proceedings in the Supreme Court and Court of Appeals,Ombudsman,Solicitor General,Chief Justice,Senate President,None of these,Solicitor General
"A GPS is a space-based navigation system that provides location and time information in all weather conditions, anywhere on or near the Earth. What does GPS stand for?",Global Positioning System,Global Positioning Satelites,Global Positioning Symmetry,General Position Satelites,General Positioning Symmetry,Global Positioning System
"Where was the remains of the late President Ferdinand Marcos buried on October 18, 2016?",Libingan ng mga Bayani,Heritage Park,"Batac, Ilocos Norte","Laoag, Ilocos Norte",None of these,Libingan ng mga Bayani
"An adjective used to designate a retired professor, pastor, bishop, or other personages but allowed to retain their title as an honor.",Retiree,Senior Citizen,Emeritus,Charter,all of the above,Emeritus
"The Commission on Human Rights has all the following powers and functions, EXCEPT___________.",Prosecute human rights offenders.,Investigate all forms of human rights violations,Exercise visitorial powers over jails and prisons.,Recommend measures to promote human rights.,None of these,Prosecute human rights offenders.
The richest man in China as of November 2014 and 18th richest person in the world with an estimated net worth of $24.1 bilion according to Forbes Magazine. He attended the APEC Summit in Manila last November 2015,Jack Ma,Henry Sy,Li ka-shing,Lee Shau Kee,None of these,Jack Ma
The current Senate President of the 18th Congress,Alan Peter Cayetano,Aquilino Pimentel,Vicente Sotto,Franklin Drilon,Juan Miguel Zubiri,Vicente Sotto
"A phrase or a fixed expression that has a figurative meaning, or sometimes literal meaning. Its figurative meaning is different from the literal meaning.",Metaphor,Poem,Idiom,Vocabulary,Hyperbole,Idiom
All of the following rights are guaranteed to an individual by the Constitution except the right to ___________.,Assemble and petition the government for redress of grievances,Form unions and associations for purposes not contrary to the law.,Have access to official records and documents,obtain scholarship grants and subsidies.,all of the above,obtain scholarship grants and subsidies.
"He/she currently heads the PCOO, the Communications Group that is responsible for planning, programming, and coordinating the activities that will most effectively collect information about what is happening in the Executive branch of the government, and getting this information to the media.",Jose Ruperto Martin M. Andanar,Harry L. Roque,Lorraine Mae T. Badoy-Partosa,George A. Apacible,None of these,Jose Ruperto Martin M. Andanar
"The principle of human rights which explains that rights of every Filipino cannot be taken away, mortgage or surrendered is called _______ principle.",Inalienble,Universal,Indivisible,Interdependence,all of the above,Inalienble
The present anti-graft court is known as the _______________.,Ombudsman,Solicitor General,Sandiganbayan,PCGG,None of these,Sandiganbayan
"On January 1, 2018, the Republic Act No. 10963, widely known as the TRAIN Law took effect. What does TRAIN stand for?",Tax Reform for Acceleration and Inclusion,Tax Reform for Added Income,Tax Reform for Acceleration and Income,Tax Reform for Accelerated Inclusion,Tax Reform for Accelerated Income,Tax Reform for Acceleration and Inclusion
"A tough but biodegradable netting that anchors the soil in sloping land and riverbanks thus, protecting against erosion.",Cocowire mesh,Fiber mat,Coconet,Coco Coir,all of the above,Coconet
Who is the Filipina weightlifting athlete who won a gold medal in the Women's 55-kg event in the recent 2019 South East Asian Games?,Hyedilin  S. Frias,Hidilyn F. Frias,Hidilyn F. Diaz,Hidilyn S. Diaz,Hyedilin F. Frias,Hidilyn F. Diaz
What event in the Philippines is in some ways similar to the Pasadena Tournament of Roses in the United States of America,Sinulog Festival,Panagbenga Fower Festival,Supo and Alimango Festival,Ati-atihan Festival,Dinagyang Festival,Panagbenga Fower Festival
"On February 17, 2021 , A senator who was acquitted, due to insufficient evidence, in one of the three drug cases filed against her.",Leila de lima,Pia Cayetano,Eva Estrada-Kalaw,Nikki Coseteng ,None of these,Leila de lima
"President Rodrigo Duterte signed the ___________, increasing the salaries of over 1.4 milion government employees starting year 2020.",Minimum wage law,Salary Standardization Law of 2019,Wage Rationalization Act,Universal Access to Quality Tertiary Education Act,Wage Standardization Act,Salary Standardization Law of 2019
"In what date does President Rodrigo Duterte signs Republic Act No. 11467, which hikes the excise taxes on alcohol and imposes new duties on heated tobacco and vapor products effective January 1, 2020",19-Jan-20,20-Jan-20,21-Jan-20,22-Jan-20,23-Jan-20,22-Jan-20
"Febraury 3, 2020, A state of calamity is declared by the provincial government of Davao Occidental, due to the ____________ outbreak, a first for the Davao Region.",African Swine Fever,COVID-19,SARS-CoV-2 Variants,None of the above,,African Swine Fever
"President Rodrigo Duterte signs the Republic Act No. 11469, a measure that gives him additional powers to strengthen government's response to the coronavirus disease 2019 (COVID-19) pandemic after Congress urgently deliberated and passed the measure within a day. What is the title of this act?",Bayanihan to Heal as One Act,Bayanihan Act 2020`,Bayanihan to Recover as One Act,The Quarantine Act of 2004,None of the above,Bayanihan to Heal as One Act
On what date does Sinovac Biotech began shipment of its CoronaVac vaccines after being  granted emergency use authorization?,29-Jan-21,25-Feb-21,28-Feb-21,01-Mar-21,11-Mar-21,28-Feb-21
What is the local name of this native vine that is featured on the newly-designed 5-peso coin recently released by the Bangko Sentral ng Pilipinas? It is commonly known as the jade vine.,Kapa-kapa,Waling-wali,Tayabak,Katmon,None of these,Tayabak
"Starting October 13, 2020, The current speaker of the House of the 18th Congress",Alan Peter Cayetano,Sonny Belmonte,Lord Allan Jay Velasco,Grace Poe,Harry Roque,Lord Allan Jay Velasco
President Rodrigo Duterte has granted an absolute pardon to this US Marines personnel who as convicted of killing of transgender Filipino woman Jennifer Laude in 2014.,David Berger,Thomas Harker,Joseph Scott Pemberton,Llyod Austin,None of these,Joseph Scott Pemberton
A rainfall advisory form PAG-ASA which means 30mm up to rainfall is expected for the first one hour and has posibility to cause flood. Response to this warning should be immediate evacaution due to flooding.,Red,Blue,Yello,Orange,Green,Red
He is the first Filipino to e officially vaccinated against COVID-19. He received the first authorized shot of Sinovac COVID-19 vaccine during the kickoff of the nation's vaccination drive. ,Manila Mayor Isko Moreno,Presidnet Rodrigo Duterte,Dr. Gerardo Legaspi,Senate Pres. Vicente Soto III,None of these,Dr. Gerardo Legaspi
"On Febraury 16, 2021, it unanimously dismissed the elctoral protest of deafeated vice presidential candidate and former senator Bongbong Marcos against Vice President Leni Robredo.",Office of the President,Commission on Elections,Office of the Solicitor General,Supreme Court,None of these,Dr. Gerardo Legaspi
